week,OffenseTeam,DefenseTeam,Down,YardsToGo,yardline_100,play_type,Quarter,game_seconds_remaining,game_half,drive,series,score_differential,stadium,roof,surface_type,HOME_day_since_last_game,AWAY_day_since_last_game,total_play_count,home_team_on_offense,home_team_on_defense,season_progression,defenders_in_box,offense_formation,Temperature,Precipitation,goal_line_situation,pass_count,run_count,current_defence_rank,temperature_grade,epa,late_season,is_close_game,poor_field_condition,rest_differential,blitz_situation,short_rest,pass_run_ratio,offensive_predictability,fourth_down_attempt,third_and_long,Predicted,Actual,Fold,Rule_Number
14,28,31,2,10,58,8,3,1095,2,21,44,-9,32,0,2,6.0,6.0,127,64,63,0.823529412,7,2,58.79,0.0,0,57,39,3,2,-0.413761287,1,0,1,0.0,1,1,0.59375,0.09375,0,0,1,1,29,24
9,2,13,2,5,45,8,3,1019,2,17,43,4,19,0,1,7.0,7.0,111,52,59,0.529411765,7,5,9.058333333,0.166071429,0,47,39,11,1,-0.685374766,0,0,0,0.0,1,0,0.546511628,0.046511628,0,0,1,1,29,24
14,10,20,2,8,60,8,4,762,2,19,47,-20,34,1,4,6.0,10.0,134,73,61,0.823529412,6,8,33.00285714,0.0,0,52,52,4,1,-0.47781156,1,0,0,-4.0,0,1,0.5,0.0,0,0,1,1,29,24
17,5,11,1,10,24,8,1,3262,1,1,4,0,31,3,2,7.0,7.0,12,12,0,1.0,6,8,31.46,0.0,0,4,7,8,1,0.196051913,1,0,1,0.0,0,0,0.363636364,0.136363636,0,0,1,1,29,28
5,5,18,1,10,47,4,4,90,2,20,54,-3,33,3,2,7.0,7.0,151,83,68,0.294117647,5,7,54.01142857,0.002285714,0,62,52,30,2,-1.033907793,0,1,1,0.0,0,0,0.543859649,0.043859649,0,0,1,1,29,24
17,29,1,2,2,80,8,3,1373,2,17,39,6,29,3,2,8.0,7.0,110,44,66,1.0,7,8,78.28571429,0.0,0,51,33,23,3,1.684351683,1,0,1,1.0,1,0,0.607142857,0.107142857,0,0,1,1,29,25
17,29,1,2,2,80,8,3,1373,2,17,39,6,29,3,2,8.0,7.0,110,44,66,1.0,7,8,78.28571429,0.0,0,51,33,23,3,1.684351683,1,0,1,1.0,1,0,0.607142857,0.107142857,0,0,1,1,29,25
7,26,30,2,11,43,4,3,1644,2,11,27,17,25,3,2,7.0,7.0,88,36,52,0.411764706,6,7,60.74857143,0.0,0,40,27,16,0,0.496975841,0,0,1,0.0,0,0,0.597014925,0.097014925,0,0,1,1,29,31
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
17,5,11,1,10,24,8,1,3262,1,1,4,0,31,3,2,7.0,7.0,12,12,0,1.0,6,8,31.46,0.0,0,4,7,8,1,0.196051913,1,0,1,0.0,0,0,0.363636364,0.136363636,0,0,1,1,29,28
14,28,31,2,10,58,8,3,1095,2,21,44,-9,32,0,2,6.0,6.0,127,64,63,0.823529412,7,2,58.79,0.0,0,57,39,3,2,-0.413761287,1,0,1,0.0,1,1,0.59375,0.09375,0,0,1,1,29,24
10,0,3,1,8,8,8,2,1900,1,7,26,-7,32,0,2,7.0,7.0,76,47,29,0.588235294,6,2,75.17,0.0,0,34,26,17,3,0.415217052,0,0,1,0.0,0,0,0.566666667,0.066666667,0,0,1,1,29,31
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
14,23,25,1,10,64,8,3,959,2,20,39,7,17,3,2,8.0,8.0,123,67,56,0.823529412,6,8,53.87,0.0165,0,53,39,20,2,-0.153028882,1,0,1,0.0,0,0,0.576086957,0.076086957,0,0,1,1,29,24
16,12,6,2,17,54,4,2,2305,1,7,17,-4,24,0,2,7.0,6.0,51,20,31,0.941176471,6,0,70.18571429,0.0,0,25,16,23,0,0.508357419,1,0,1,1.0,0,1,0.609756098,0.109756098,0,0,1,1,29,31
19,2,3,2,10,75,4,3,905,2,15,41,-14,14,3,0,8.145509591,8.25692499,116,47,69,1.117647059,6,7,32.0,0.002666667,0,56,32,17,1,-2.551002566,1,0,0,-0.111415399,0,0,0.636363636,0.136363636,0,0,1,1,29,24
16,29,12,2,10,90,4,4,135,2,25,55,-3,29,3,2,6.0,6.0,161,81,80,0.941176471,6,7,72.26857143,0.004571429,0,83,43,25,3,1.084684869,1,1,1,0.0,0,1,0.658730159,0.158730159,0,0,1,1,29,25
14,10,20,2,8,60,8,4,762,2,19,47,-20,34,1,4,6.0,10.0,134,73,61,0.823529412,6,8,33.00285714,0.0,0,52,52,4,1,-0.47781156,1,0,0,-4.0,0,1,0.5,0.0,0,0,1,1,29,24
2,7,24,2,10,64,4,4,216,2,23,46,20,23,3,1,8.0,8.0,152,75,77,0.117647059,7,7,71.18,0.0,0,65,43,16,0,2.215803885,0,0,0,0.0,1,0,0.601851852,0.101851852,0,0,1,1,29,25
5,5,18,1,10,47,4,4,90,2,20,54,-3,33,3,2,7.0,7.0,151,83,68,0.294117647,5,7,54.01142857,0.002285714,0,62,52,30,2,-1.033907793,0,1,1,0.0,0,0,0.543859649,0.043859649,0,0,1,1,29,24
17,29,1,2,2,80,8,3,1373,2,17,39,6,29,3,2,8.0,7.0,110,44,66,1.0,7,8,78.28571429,0.0,0,51,33,23,3,1.684351683,1,0,1,1.0,1,0,0.607142857,0.107142857,0,0,1,1,29,25
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
17,5,11,1,10,24,8,1,3262,1,1,4,0,31,3,2,7.0,7.0,12,12,0,1.0,6,8,31.46,0.0,0,4,7,8,1,0.196051913,1,0,1,0.0,0,0,0.363636364,0.136363636,0,0,1,1,29,28
14,22,25,0,0,15,0,3,1375,2,14,34,-11,17,3,2,7.0,7.0,102,52,50,0.823529412,0,1,50.15,0.0,0,44,32,18,2,0.067573003,1,0,1,0.0,0,0,0.578947368,0.078947368,0,0,0,1,29,0
19,2,3,2,10,75,4,3,905,2,15,41,-14,14,3,0,8.145509591,8.25692499,116,47,69,1.117647059,6,7,32.0,0.002666667,0,56,32,17,1,-2.551002566,1,0,0,-0.111415399,0,0,0.636363636,0.136363636,0,0,1,1,29,24
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
6,5,4,1,10,12,8,3,1087,2,14,42,7,3,3,2,7.0,10.0,108,54,54,0.352941176,6,7,64.99142857,0.0,0,47,33,26,0,1.371691592,0,0,1,-3.0,0,0,0.5875,0.0875,0,0,1,1,29,25
14,22,25,0,0,15,0,3,1375,2,14,34,-11,17,3,2,7.0,7.0,102,52,50,0.823529412,0,1,50.15,0.0,0,44,32,18,2,0.067573003,1,0,1,0.0,0,0,0.578947368,0.078947368,0,0,0,1,29,0
12,11,5,2,10,66,4,3,1228,2,14,43,24,15,3,2,7.0,13.0,110,60,50,0.705882353,7,8,34.52,0.0,0,50,35,6,1,-0.787957384,0,0,1,-6.0,1,0,0.588235294,0.088235294,0,0,1,1,29,22
2,7,24,2,10,64,4,4,216,2,23,46,20,23,3,1,8.0,8.0,152,75,77,0.117647059,7,7,71.18,0.0,0,65,43,16,0,2.215803885,0,0,0,0.0,1,0,0.601851852,0.101851852,0,0,1,1,29,25
13,28,2,3,7,71,4,1,3520,1,1,1,0,21,3,2,6.0,7.0,4,0,4,0.764705882,6,7,42.02,0.088666667,0,1,2,15,1,3.353991013,1,0,1,-1.0,0,1,0.333333333,0.166666667,0,0,1,1,29,41
10,29,4,3,1,54,4,3,1663,2,10,28,0,3,3,2,7.0,7.0,83,36,47,0.588235294,6,7,69.44,0.0,0,41,24,26,0,2.567459253,0,0,1,0.0,0,0,0.630769231,0.130769231,0,0,1,1,29,40
13,28,2,3,7,71,4,1,3520,1,1,1,0,21,3,2,6.0,7.0,4,0,4,0.764705882,6,7,42.02,0.088666667,0,1,2,15,1,3.353991013,1,0,1,-1.0,0,1,0.333333333,0.166666667,0,0,1,1,29,41
14,28,31,2,10,58,8,3,1095,2,21,44,-9,32,0,2,6.0,6.0,127,64,63,0.823529412,7,2,58.79,0.0,0,57,39,3,2,-0.413761287,1,0,1,0.0,1,1,0.59375,0.09375,0,0,1,1,29,24
16,17,18,2,10,60,4,2,2053,1,11,17,-7,28,3,2,7.0,7.0,60,35,25,0.941176471,5,0,63.02,0.0,0,28,16,30,0,1.471205003,1,0,1,0.0,0,0,0.636363636,0.136363636,0,0,1,1,29,40
17,29,1,2,2,80,8,3,1373,2,17,39,6,29,3,2,8.0,7.0,110,44,66,1.0,7,8,78.28571429,0.0,0,51,33,23,3,1.684351683,1,0,1,1.0,1,0,0.607142857,0.107142857,0,0,1,1,29,25
17,29,1,2,2,80,8,3,1373,2,17,39,6,29,3,2,8.0,7.0,110,44,66,1.0,7,8,78.28571429,0.0,0,51,33,23,3,1.684351683,1,0,1,1.0,1,0,0.607142857,0.107142857,0,0,1,1,29,25
16,12,6,2,17,54,4,2,2305,1,7,17,-4,24,0,2,7.0,6.0,51,20,31,0.941176471,6,0,70.18571429,0.0,0,25,16,23,0,0.508357419,1,0,1,1.0,0,1,0.609756098,0.109756098,0,0,1,1,29,31
2,24,28,1,10,33,8,1,3105,1,4,7,-7,23,3,1,7.0,7.0,22,15,7,0.117647059,7,8,61.7,0.0,0,7,10,9,0,-0.101735541,0,0,0,0.0,1,0,0.411764706,0.088235294,0,0,0,1,29,30
10,29,4,3,1,54,4,3,1663,2,10,28,0,3,3,2,7.0,7.0,83,36,47,0.588235294,6,7,69.44,0.0,0,41,24,26,0,2.567459253,0,0,1,0.0,0,0,0.630769231,0.130769231,0,0,1,1,29,40
3,22,11,1,10,46,8,2,2217,1,7,19,-6,4,1,0,6.0,7.0,52,24,28,0.176470588,7,8,76.31,0.0,0,18,21,8,3,0.567601764,0,0,0,-1.0,1,1,0.461538462,0.038461538,0,0,1,1,29,31
11,22,1,1,10,75,4,2,2636,1,6,14,-3,4,1,0,7.0,14.0,42,17,25,0.647058824,8,8,75.30285714,0.0,0,18,12,22,3,1.315136867,0,0,0,-7.0,1,0,0.6,0.1,0,0,1,1,29,41
10,29,4,3,1,54,4,3,1663,2,10,28,0,3,3,2,7.0,7.0,83,36,47,0.588235294,6,7,69.44,0.0,0,41,24,26,0,2.567459253,0,0,1,0.0,0,0,0.630769231,0.130769231,0,0,1,1,29,40
16,9,10,1,10,75,8,2,2452,1,7,13,-10,7,3,2,7.0,7.0,46,20,26,0.941176471,6,8,51.224,0.0,0,19,14,8,2,0.680168357,1,0,1,0.0,0,0,0.575757576,0.075757576,0,0,1,1,29,31
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
7,11,18,1,10,29,4,3,1078,2,12,39,11,15,3,2,6.0,14.0,109,56,53,0.411764706,7,7,59.0,0.0,0,50,31,30,2,2.091818003,0,0,1,-8.0,1,1,0.617283951,0.117283951,0,0,1,1,29,25
6,27,7,3,8,20,4,2,2454,1,6,17,-14,5,3,2,6.0,10.0,51,22,29,0.352941176,8,7,64.96571429,0.0,0,22,16,29,0,-0.830342491,0,0,1,-4.0,1,1,0.578947368,0.078947368,0,1,1,1,29,31
5,5,18,1,10,47,4,4,90,2,20,54,-3,33,3,2,7.0,7.0,151,83,68,0.294117647,5,7,54.01142857,0.002285714,0,62,52,30,2,-1.033907793,0,1,1,0.0,0,0,0.543859649,0.043859649,0,0,1,1,29,24
9,2,13,2,5,45,8,3,1019,2,17,43,4,19,0,1,7.0,7.0,111,52,59,0.529411765,7,5,9.058333333,0.166071429,0,47,39,11,1,-0.685374766,0,0,0,0.0,1,0,0.546511628,0.046511628,0,0,1,1,29,24
10,0,3,1,8,8,8,2,1900,1,7,26,-7,32,0,2,7.0,7.0,76,47,29,0.588235294,6,2,75.17,0.0,0,34,26,17,3,0.415217052,0,0,1,0.0,0,0,0.566666667,0.066666667,0,0,1,1,29,31
14,22,25,0,0,15,0,3,1375,2,14,34,-11,17,3,2,7.0,7.0,102,52,50,0.823529412,0,1,50.15,0.0,0,44,32,18,2,0.067573003,1,0,1,0.0,0,0,0.578947368,0.078947368,0,0,0,1,29,0
7,26,30,2,11,43,4,3,1644,2,11,27,17,25,3,2,7.0,7.0,88,36,52,0.411764706,6,7,60.74857143,0.0,0,40,27,16,0,0.496975841,0,0,1,0.0,0,0,0.597014925,0.097014925,0,0,1,1,29,31
2,24,28,1,10,33,8,1,3105,1,4,7,-7,23,3,1,7.0,7.0,22,15,7,0.117647059,7,8,61.7,0.0,0,7,10,9,0,-0.101735541,0,0,0,0.0,1,0,0.411764706,0.088235294,0,0,0,1,29,30
16,29,12,2,10,90,4,4,135,2,25,55,-3,29,3,2,6.0,6.0,161,81,80,0.941176471,6,7,72.26857143,0.004571429,0,83,43,25,3,1.084684869,1,1,1,0.0,0,1,0.658730159,0.158730159,0,0,1,1,29,25
6,5,4,1,10,12,8,3,1087,2,14,42,7,3,3,2,7.0,10.0,108,54,54,0.352941176,6,7,64.99142857,0.0,0,47,33,26,0,1.371691592,0,0,1,-3.0,0,0,0.5875,0.0875,0,0,1,1,29,25
21,28,15,1,10,64,8,3,1717,2,9,30,0,13,3,2,8.145509591,8.25692499,75,42,33,1.235294118,8,8,56.26210526,0.0,0,32,26,26,2,0.991880725,1,0,1,-0.111415399,1,0,0.551724138,0.051724138,0,0,1,1,29,40
2,24,28,1,10,33,8,1,3105,1,4,7,-7,23,3,1,7.0,7.0,22,15,7,0.117647059,7,8,61.7,0.0,0,7,10,9,0,-0.101735541,0,0,0,0.0,1,0,0.411764706,0.088235294,0,0,0,1,29,30
19,2,3,2,10,75,4,3,905,2,15,41,-14,14,3,0,8.145509591,8.25692499,116,47,69,1.117647059,6,7,32.0,0.002666667,0,56,32,17,1,-2.551002566,1,0,0,-0.111415399,0,0,0.636363636,0.136363636,0,0,1,1,29,24
2,7,24,2,10,64,4,4,216,2,23,46,20,23,3,1,8.0,8.0,152,75,77,0.117647059,7,7,71.18,0.0,0,65,43,16,0,2.215803885,0,0,0,0.0,1,0,0.601851852,0.101851852,0,0,1,1,29,25
10,29,4,3,1,54,4,3,1663,2,10,28,0,3,3,2,7.0,7.0,83,36,47,0.588235294,6,7,69.44,0.0,0,41,24,26,0,2.567459253,0,0,1,0.0,0,0,0.630769231,0.130769231,0,0,1,1,29,40
11,22,1,1,10,75,4,2,2636,1,6,14,-3,4,1,0,7.0,14.0,42,17,25,0.647058824,8,8,75.30285714,0.0,0,18,12,22,3,1.315136867,0,0,0,-7.0,1,0,0.6,0.1,0,0,1,1,29,41
11,22,1,1,10,75,4,2,2636,1,6,14,-3,4,1,0,7.0,14.0,42,17,25,0.647058824,8,8,75.30285714,0.0,0,18,12,22,3,1.315136867,0,0,0,-7.0,1,0,0.6,0.1,0,0,1,1,29,41
5,5,18,1,10,47,4,4,90,2,20,54,-3,33,3,2,7.0,7.0,151,83,68,0.294117647,5,7,54.01142857,0.002285714,0,62,52,30,2,-1.033907793,0,1,1,0.0,0,0,0.543859649,0.043859649,0,0,1,1,29,24
3,22,11,1,10,46,8,2,2217,1,7,19,-6,4,1,0,6.0,7.0,52,24,28,0.176470588,7,8,76.31,0.0,0,18,21,8,3,0.567601764,0,0,0,-1.0,1,1,0.461538462,0.038461538,0,0,1,1,29,31
12,31,8,2,10,50,4,3,1165,2,13,37,7,0,0,1,4.0,4.0,106,46,60,0.705882353,6,7,68.99,0.0,0,48,33,28,0,-0.884356351,0,0,0,0.0,0,1,0.592592593,0.092592593,0,0,0,1,29,23
14,22,25,0,0,15,0,3,1375,2,14,34,-11,17,3,2,7.0,7.0,102,52,50,0.823529412,0,1,50.15,0.0,0,44,32,18,2,0.067573003,1,0,1,0.0,0,0,0.578947368,0.078947368,0,0,0,1,29,0
16,9,10,1,10,75,8,2,2452,1,7,13,-10,7,3,2,7.0,7.0,46,20,26,0.941176471,6,8,51.224,0.0,0,19,14,8,2,0.680168357,1,0,1,0.0,0,0,0.575757576,0.075757576,0,0,1,1,29,31
16,17,18,2,10,60,4,2,2053,1,11,17,-7,28,3,2,7.0,7.0,60,35,25,0.941176471,5,0,63.02,0.0,0,28,16,30,0,1.471205003,1,0,1,0.0,0,0,0.636363636,0.136363636,0,0,1,1,29,40
16,2,7,1,10,26,3,4,900,2,16,45,12,5,3,2,7.0,10.0,119,59,60,0.941176471,7,5,51.54285714,0.0,0,53,38,29,2,0.444459984,1,0,1,-3.0,1,0,0.582417582,0.082417582,0,0,1,1,29,25
3,22,11,1,10,46,8,2,2217,1,7,19,-6,4,1,0,6.0,7.0,52,24,28,0.176470588,7,8,76.31,0.0,0,18,21,8,3,0.567601764,0,0,0,-1.0,1,1,0.461538462,0.038461538,0,0,1,1,29,31
14,23,25,1,10,64,8,3,959,2,20,39,7,17,3,2,8.0,8.0,123,67,56,0.823529412,6,8,53.87,0.0165,0,53,39,20,2,-0.153028882,1,0,1,0.0,0,0,0.576086957,0.076086957,0,0,1,1,29,24
13,28,2,3,7,71,4,1,3520,1,1,1,0,21,3,2,6.0,7.0,4,0,4,0.764705882,6,7,42.02,0.088666667,0,1,2,15,1,3.353991013,1,0,1,-1.0,0,1,0.333333333,0.166666667,0,0,1,1,29,41
16,17,18,2,10,60,4,2,2053,1,11,17,-7,28,3,2,7.0,7.0,60,35,25,0.941176471,5,0,63.02,0.0,0,28,16,30,0,1.471205003,1,0,1,0.0,0,0,0.636363636,0.136363636,0,0,1,1,29,40
12,11,5,2,10,66,4,3,1228,2,14,43,24,15,3,2,7.0,13.0,110,60,50,0.705882353,7,8,34.52,0.0,0,50,35,6,1,-0.787957384,0,0,1,-6.0,1,0,0.588235294,0.088235294,0,0,1,1,29,22
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
10,29,4,3,1,54,4,3,1663,2,10,28,0,3,3,2,7.0,7.0,83,36,47,0.588235294,6,7,69.44,0.0,0,41,24,26,0,2.567459253,0,0,1,0.0,0,0,0.630769231,0.130769231,0,0,1,1,29,40
14,23,25,1,10,64,8,3,959,2,20,39,7,17,3,2,8.0,8.0,123,67,56,0.823529412,6,8,53.87,0.0165,0,53,39,20,2,-0.153028882,1,0,1,0.0,0,0,0.576086957,0.076086957,0,0,1,1,29,24
14,28,31,2,10,58,8,3,1095,2,21,44,-9,32,0,2,6.0,6.0,127,64,63,0.823529412,7,2,58.79,0.0,0,57,39,3,2,-0.413761287,1,0,1,0.0,1,1,0.59375,0.09375,0,0,1,1,29,24
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
6,27,7,3,8,20,4,2,2454,1,6,17,-14,5,3,2,6.0,10.0,51,22,29,0.352941176,8,7,64.96571429,0.0,0,22,16,29,0,-0.830342491,0,0,1,-4.0,1,1,0.578947368,0.078947368,0,1,1,1,29,31
14,28,31,2,10,58,8,3,1095,2,21,44,-9,32,0,2,6.0,6.0,127,64,63,0.823529412,7,2,58.79,0.0,0,57,39,3,2,-0.413761287,1,0,1,0.0,1,1,0.59375,0.09375,0,0,1,1,29,24
14,23,25,1,10,64,8,3,959,2,20,39,7,17,3,2,8.0,8.0,123,67,56,0.823529412,6,8,53.87,0.0165,0,53,39,20,2,-0.153028882,1,0,1,0.0,0,0,0.576086957,0.076086957,0,0,1,1,29,24
14,28,31,2,10,58,8,3,1095,2,21,44,-9,32,0,2,6.0,6.0,127,64,63,0.823529412,7,2,58.79,0.0,0,57,39,3,2,-0.413761287,1,0,1,0.0,1,1,0.59375,0.09375,0,0,1,1,29,24
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
7,26,30,2,11,43,4,3,1644,2,11,27,17,25,3,2,7.0,7.0,88,36,52,0.411764706,6,7,60.74857143,0.0,0,40,27,16,0,0.496975841,0,0,1,0.0,0,0,0.597014925,0.097014925,0,0,1,1,29,31
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
7,11,18,1,10,29,4,3,1078,2,12,39,11,15,3,2,6.0,14.0,109,56,53,0.411764706,7,7,59.0,0.0,0,50,31,30,2,2.091818003,0,0,1,-8.0,1,1,0.617283951,0.117283951,0,0,1,1,29,25
16,29,12,2,10,90,4,4,135,2,25,55,-3,29,3,2,6.0,6.0,161,81,80,0.941176471,6,7,72.26857143,0.004571429,0,83,43,25,3,1.084684869,1,1,1,0.0,0,1,0.658730159,0.158730159,0,0,1,1,29,25
6,27,7,3,8,20,4,2,2454,1,6,17,-14,5,3,2,6.0,10.0,51,22,29,0.352941176,8,7,64.96571429,0.0,0,22,16,29,0,-0.830342491,0,0,1,-4.0,1,1,0.578947368,0.078947368,0,1,1,1,29,31
15,9,3,1,10,49,4,4,876,2,18,50,-25,7,3,2,6.0,6.0,135,63,72,0.882352941,5,7,41.3,0.0,0,66,33,17,1,-0.836578879,1,0,1,0.0,0,1,0.666666667,0.166666667,0,0,1,1,29,24
11,22,1,1,10,75,4,2,2636,1,6,14,-3,4,1,0,7.0,14.0,42,17,25,0.647058824,8,8,75.30285714,0.0,0,18,12,22,3,1.315136867,0,0,0,-7.0,1,0,0.6,0.1,0,0,1,1,29,41
19,2,3,2,10,75,4,3,905,2,15,41,-14,14,3,0,8.145509591,8.25692499,116,47,69,1.117647059,6,7,32.0,0.002666667,0,56,32,17,1,-2.551002566,1,0,0,-0.111415399,0,0,0.636363636,0.136363636,0,0,1,1,29,24
6,5,4,1,10,12,8,3,1087,2,14,42,7,3,3,2,7.0,10.0,108,54,54,0.352941176,6,7,64.99142857,0.0,0,47,33,26,0,1.371691592,0,0,1,-3.0,0,0,0.5875,0.0875,0,0,1,1,29,25
16,29,12,2,10,90,4,4,135,2,25,55,-3,29,3,2,6.0,6.0,161,81,80,0.941176471,6,7,72.26857143,0.004571429,0,83,43,25,3,1.084684869,1,1,1,0.0,0,1,0.658730159,0.158730159,0,0,1,1,29,25
2,7,24,2,10,64,4,4,216,2,23,46,20,23,3,1,8.0,8.0,152,75,77,0.117647059,7,7,71.18,0.0,0,65,43,16,0,2.215803885,0,0,0,0.0,1,0,0.601851852,0.101851852,0,0,1,1,29,25
10,29,4,3,1,54,4,3,1663,2,10,28,0,3,3,2,7.0,7.0,83,36,47,0.588235294,6,7,69.44,0.0,0,41,24,26,0,2.567459253,0,0,1,0.0,0,0,0.630769231,0.130769231,0,0,1,1,29,40
10,0,3,1,8,8,8,2,1900,1,7,26,-7,32,0,2,7.0,7.0,76,47,29,0.588235294,6,2,75.17,0.0,0,34,26,17,3,0.415217052,0,0,1,0.0,0,0,0.566666667,0.066666667,0,0,1,1,29,31
17,29,1,2,2,80,8,3,1373,2,17,39,6,29,3,2,8.0,7.0,110,44,66,1.0,7,8,78.28571429,0.0,0,51,33,23,3,1.684351683,1,0,1,1.0,1,0,0.607142857,0.107142857,0,0,1,1,29,25
15,26,6,1,10,55,4,2,2349,1,11,16,-10,27,3,2,8.0,8.0,52,28,24,0.882352941,7,8,44.66,0.0,0,18,22,23,2,-0.44577404,1,0,1,0.0,1,0,0.45,0.05,0,0,1,1,29,31
3,22,11,1,10,46,8,2,2217,1,7,19,-6,4,1,0,6.0,7.0,52,24,28,0.176470588,7,8,76.31,0.0,0,18,21,8,3,0.567601764,0,0,0,-1.0,1,1,0.461538462,0.038461538,0,0,1,1,29,31
16,12,6,2,17,54,4,2,2305,1,7,17,-4,24,0,2,7.0,6.0,51,20,31,0.941176471,6,0,70.18571429,0.0,0,25,16,23,0,0.508357419,1,0,1,1.0,0,1,0.609756098,0.109756098,0,0,1,1,29,31
17,29,1,2,2,80,8,3,1373,2,17,39,6,29,3,2,8.0,7.0,110,44,66,1.0,7,8,78.28571429,0.0,0,51,33,23,3,1.684351683,1,0,1,1.0,1,0,0.607142857,0.107142857,0,0,1,1,29,25
21,28,15,1,10,64,8,3,1717,2,9,30,0,13,3,2,8.145509591,8.25692499,75,42,33,1.235294118,8,8,56.26210526,0.0,0,32,26,26,2,0.991880725,1,0,1,-0.111415399,1,0,0.551724138,0.051724138,0,0,1,1,29,40
5,5,18,1,10,47,4,4,90,2,20,54,-3,33,3,2,7.0,7.0,151,83,68,0.294117647,5,7,54.01142857,0.002285714,0,62,52,30,2,-1.033907793,0,1,1,0.0,0,0,0.543859649,0.043859649,0,0,1,1,29,24
16,12,6,2,17,54,4,2,2305,1,7,17,-4,24,0,2,7.0,6.0,51,20,31,0.941176471,6,0,70.18571429,0.0,0,25,16,23,0,0.508357419,1,0,1,1.0,0,1,0.609756098,0.109756098,0,0,1,1,29,31
13,28,2,3,7,71,4,1,3520,1,1,1,0,21,3,2,6.0,7.0,4,0,4,0.764705882,6,7,42.02,0.088666667,0,1,2,15,1,3.353991013,1,0,1,-1.0,0,1,0.333333333,0.166666667,0,0,1,1,29,41
7,26,30,2,11,43,4,3,1644,2,11,27,17,25,3,2,7.0,7.0,88,36,52,0.411764706,6,7,60.74857143,0.0,0,40,27,16,0,0.496975841,0,0,1,0.0,0,0,0.597014925,0.097014925,0,0,1,1,29,31
9,2,13,2,5,45,8,3,1019,2,17,43,4,19,0,1,7.0,7.0,111,52,59,0.529411765,7,5,9.058333333,0.166071429,0,47,39,11,1,-0.685374766,0,0,0,0.0,1,0,0.546511628,0.046511628,0,0,1,1,29,24
7,11,18,1,10,29,4,3,1078,2,12,39,11,15,3,2,6.0,14.0,109,56,53,0.411764706,7,7,59.0,0.0,0,50,31,30,2,2.091818003,0,0,1,-8.0,1,1,0.617283951,0.117283951,0,0,1,1,29,25
2,24,28,1,10,33,8,1,3105,1,4,7,-7,23,3,1,7.0,7.0,22,15,7,0.117647059,7,8,61.7,0.0,0,7,10,9,0,-0.101735541,0,0,0,0.0,1,0,0.411764706,0.088235294,0,0,0,1,29,30
14,22,25,0,0,15,0,3,1375,2,14,34,-11,17,3,2,7.0,7.0,102,52,50,0.823529412,0,1,50.15,0.0,0,44,32,18,2,0.067573003,1,0,1,0.0,0,0,0.578947368,0.078947368,0,0,0,1,29,0
3,12,17,1,10,65,3,4,720,2,17,46,4,28,3,2,7.0,7.0,127,66,61,0.176470588,6,7,82.49,0.0,0,66,29,19,3,0.00409605,0,1,1,0.0,0,0,0.694736842,0.194736842,0,0,1,1,29,24
